2026-03-28 18:21:41 | W12 Qwen_12 | model=qwen3.5-plus | file=013_南海美食_南海传说篇.md | chunk_0000 | E=0 R=0 | 1.7s
2026-03-28 18:21:41 | W4 Qwen_4 | model=qwen3.5-plus | file=005_佛山市博物馆藏绘画.md | chunk_0000 | E=0 R=0 | 1.9s
2026-03-28 18:21:41 | W14 Qwen_14 | model=qwen3.5-plus | file=015_南海美食_南海美食篇.md | chunk_0000 | E=0 R=0 | 2.3s
2026-03-28 18:21:41 | W16 Qwen_16 | model=qwen3.5-plus | file=017_南海非遗_南海书画篇.md | chunk_0000 | E=0 R=0 | 2.3s
2026-03-28 18:21:41 | W13 Qwen_13 | model=qwen3.5-plus | file=014_南海美食_南海特产篇.md | chunk_0000 | E=0 R=0 | 2.4s
2026-03-28 18:21:41 | W3 Qwen_3 | model=qwen3.5-plus | file=004_佛山历史人物录.md | chunk_0000 | E=0 R=0 | 2.4s
2026-03-28 18:21:41 | W15 Qwen_15 | model=qwen3.5-plus | file=016_南海美食南海特产南海传说_合辑.md | chunk_0000 | E=0 R=0 | 2.4s
2026-03-28 18:21:41 | W18 Qwen_18 | model=qwen3.5-plus | file=019_南海龙狮南海衣冠南海古村_南海衣冠篇.md | chunk_0000 | E=0 R=0 | 2.4s
2026-03-28 18:21:41 | W17 Qwen_17 | model=qwen3.5-plus | file=018_南海龙狮南海衣冠南海古村_南海古村篇.md | chunk_0000 | E=0 R=0 | 2.4s
2026-03-28 18:21:41 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0000 | E=0 R=0 | 2.5s
2026-03-28 18:21:41 | W5 Qwen_5 | model=qwen3.5-plus | file=006_佛山市志_上.md | chunk_0000 | E=0 R=0 | 2.5s
2026-03-28 18:21:41 | W8 Qwen_8 | model=qwen3.5-plus | file=009_佛山祖庙.md | chunk_0000 | E=0 R=0 | 2.5s
2026-03-28 18:21:41 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0000 | E=0 R=0 | 2.6s
2026-03-28 18:21:42 | W19 Qwen_19 | model=qwen3.5-plus | file=020_南海龙狮南海衣冠南海古村_南海龙狮篇.md | chunk_0000 | E=0 R=0 | 2.7s
2026-03-28 18:21:42 | W6 Qwen_6 | model=qwen3.5-plus | file=007_佛山市志_下.md | chunk_0000 | E=0 R=0 | 2.8s
2026-03-28 18:21:42 | W12 Qwen_12 | model=qwen3.5-plus | file=013_南海美食_南海传说篇.md | chunk_0001 | E=0 R=0 | 1.1s
2026-03-28 18:21:42 | W4 Qwen_4 | model=qwen3.5-plus | file=005_佛山市博物馆藏绘画.md | chunk_0001 | E=0 R=0 | 1.3s
2026-03-28 18:21:42 | W15 Qwen_15 | model=qwen3.5-plus | file=016_南海美食南海特产南海传说_合辑.md | chunk_0001 | E=0 R=0 | 0.7s
2026-03-28 18:21:42 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0001 | E=0 R=0 | 0.7s
2026-03-28 18:21:42 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0001 | E=0 R=0 | 1.0s
2026-03-28 18:21:43 | W18 Qwen_18 | model=qwen3.5-plus | file=019_南海龙狮南海衣冠南海古村_南海衣冠篇.md | chunk_0001 | E=0 R=0 | 1.4s
2026-03-28 18:21:43 | W1 Qwen_1 | model=qwen3.5-plus | file=002_中国旅行_广州佛山.md | chunk_0002 | E=0 R=0 | 0.7s
2026-03-28 18:21:43 | W8 Qwen_8 | model=qwen3.5-plus | file=009_佛山祖庙.md | chunk_0001 | E=0 R=0 | 1.8s
2026-03-28 18:21:43 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0002 | E=0 R=0 | 0.8s
2026-03-28 18:21:44 | W1 Qwen_1 | model=qwen3.5-plus | file=022_岭南文化知识书系_佛山祖庙.md | chunk_0000 | E=0 R=0 | 1.0s
2026-03-28 18:21:44 | W9 Qwen_9 | model=qwen3.5-plus | file=010_南海市文化艺术志.md | chunk_0003 | E=0 R=0 | 0.7s
2026-03-28 18:21:45 | W1 Qwen_1 | model=qwen3.5-plus | file=022_岭南文化知识书系_佛山祖庙.md | chunk_0001 | E=0 R=0 | 0.7s
2026-03-28 18:21:49 | W8 Qwen_8 | model=qwen3.5-plus | file=009_佛山祖庙.md | chunk_0002 | E=3 R=2 | 6.2s
2026-03-28 18:21:50 | W11 Qwen_11 | model=qwen3.5-plus | file=012_南海文史资料_邹伯奇.md | chunk_0000 | E=3 R=2 | 11.3s
2026-03-28 18:21:53 | W1 Qwen_1 | model=qwen3.5-plus | file=022_岭南文化知识书系_佛山祖庙.md | chunk_0002 | E=4 R=3 | 8.8s
2026-03-28 18:21:53 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0000 | E=5 R=2 | 14.5s
2026-03-28 18:21:54 | W12 Qwen_12 | model=qwen3.5-plus | file=013_南海美食_南海传说篇.md | chunk_0002 | E=8 R=0 | 12.0s
2026-03-28 18:21:54 | W12 Qwen_12 | model=qwen3.5-plus | file=013_南海美食_南海传说篇.md | chunk_0003 | E=0 R=0 | 0.7s
2026-03-28 18:21:55 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0001 | E=0 R=0 | 1.3s
2026-03-28 18:21:55 | W2 Qwen_2 | model=qwen3.5-plus | file=003_中枢与象征_佛山祖庙.md | chunk_0000 | E=7 R=6 | 15.9s
2026-03-28 18:21:55 | W16 Qwen_16 | model=qwen3.5-plus | file=017_南海非遗_南海书画篇.md | chunk_0001 | E=7 R=6 | 14.2s
2026-03-28 18:21:55 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0002 | E=0 R=0 | 0.8s
2026-03-28 18:21:56 | W12 Qwen_12 | model=qwen3.5-plus | file=013_南海美食_南海传说篇.md | chunk_0004 | E=0 R=0 | 1.1s
2026-03-28 18:21:56 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0003 | E=0 R=0 | 0.7s
2026-03-28 18:21:56 | W19 Qwen_19 | model=qwen3.5-plus | file=020_南海龙狮南海衣冠南海古村_南海龙狮篇.md | chunk_0001 | E=7 R=3 | 14.8s
2026-03-28 18:21:57 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0004 | E=0 R=0 | 0.8s
2026-03-28 18:21:58 | W4 Qwen_4 | model=qwen3.5-plus | file=005_佛山市博物馆藏绘画.md | chunk_0002 | E=7 R=1 | 15.8s
2026-03-28 18:21:58 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0005 | E=0 R=0 | 0.9s
2026-03-28 18:21:58 | W17 Qwen_17 | model=qwen3.5-plus | file=018_南海龙狮南海衣冠南海古村_南海古村篇.md | chunk_0001 | E=7 R=5 | 16.7s
