id,name,category,original_type,address,town,lng,lat,rating,has_nonheritage,nonheritage_match,query_type
B0FFIZPS1X,五斗水闸牌坊,自然景观,风景名胜;风景名胜相关;旅游景点,五斗大道中与五斗大道东交叉口北20米,桂城街道,113.20803,23.013883,4.3,False,,旅游景点
B0FFGA58BQ,银坑村祠堂(乡约),自然景观,风景名胜;风景名胜;风景名胜,庆云大道西北侧,西樵镇,112.883841,22.858808,4.1,False,,旅游景点
B0FFFEOXGO,拱北公园,自然景观,风景名胜;公园广场;公园,兴隆大街66铺,里水镇,113.122488,23.115259,4.3,False,,旅游景点
B0FFGZ0A5W,恒大御景半岛钟楼,自然景观,风景名胜;风景名胜;风景名胜,村前大路与新村一路交叉口东160米,里水镇,113.206273,23.185379,4.3,False,,旅游景点
B0FFFU6C0S,大德社区活动公园,自然景观,风景名胜;公园广场;公园,平洲大德社区,桂城街道,113.195306,23.034234,4.0,False,,旅游景点
B02F507LDP,马大将军庙,自然景观,风景名胜;风景名胜;寺庙道观,金桔园4号,桂城街道,113.149013,23.004873,3.9,False,,旅游景点
B02F5045QD,真成周公祠,自然景观,风景名胜;风景名胜;寺庙道观,里水镇和桂工业园石塘上北村大街十一巷1号,里水镇,113.093316,23.277428,4.0,False,,旅游景点
B02F50V3ZM,基督教里水堂,自然景观,风景名胜;风景名胜;教堂,环镇南路与里水大道交叉口西北200米,里水镇,113.150468,23.180009,4.1,False,,旅游景点
B02F507JSS,大沥公园,自然景观,风景名胜;公园广场;公园,兴隆街1号,大沥镇,113.12273,23.111971,4.3,False,,旅游景点
B0FFIOXZ4F,祖盛徐公祠,自然景观,风景名胜;风景名胜相关;旅游景点,八甲村,狮山镇,112.931265,23.089919,3.9,False,,旅游景点
B0FFI2ATL2,胡氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,伴仙港新村四巷与伴北路交叉口西北100米,里水镇,113.133419,23.180881,3.9,False,,旅游景点
B0FFI29O18,罗城三眼井,自然景观,风景名胜;风景名胜相关;旅游景点,济南路与罗城工业大道交叉口西北240米,里水镇,113.141389,23.1262,4.2,False,,旅游景点
B0FFH42V09,慕道马公祠,自然景观,风景名胜;风景名胜相关;旅游景点,里大线与里水通道交叉口东北80米,里水镇,113.163914,23.201289,4.0,False,,旅游景点
B0FFGAUTTN,寨边五队李氏宗祠,自然景观,风景名胜;风景名胜相关;旅游景点,罗村街道寨边村五队,狮山镇,113.05529,23.052069,3.9,False,,旅游景点
B0FFFZ1P4M,潘氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,永青路与永平村东街交叉口西北60米,里水镇,113.17906,23.080363,4.1,False,,旅游景点
B02F50Y7VB,茶基三圣宫,自然景观,风景名胜;风景名胜;寺庙道观,叠南茶基村428号,桂城街道,113.125265,23.052211,4.2,False,,旅游景点
B02F50UZ0J,芦溪公园,自然景观,风景名胜;公园广场;公园,狮山镇芦塘小学,狮山镇,113.04637,23.068734,4.0,False,,旅游景点
B02F5077P8,观音古庙,自然景观,风景名胜;风景名胜;寺庙道观,西樵镇崇南窦头村,西樵镇,112.988079,22.964669,4.1,False,,旅游景点
B02F50779V,胡氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,梅屋大街北侧,丹灶镇,113.04437,22.915141,4.1,False,,旅游景点
