spot_name,rating,review_text,review_date,source,sentiment
五斗水闸牌坊,4.3,高德评分: 4.3,,高德,positive
银坑村祠堂(乡约),4.1,高德评分: 4.1,,高德,positive
拱北公园,4.3,高德评分: 4.3,,高德,positive
恒大御景半岛钟楼,4.3,高德评分: 4.3,,高德,positive
大德社区活动公园,4.0,高德评分: 4.0,,高德,positive
马大将军庙,3.9,高德评分: 3.9,,高德,neutral
真成周公祠,4.0,高德评分: 4.0,,高德,positive
基督教里水堂,4.1,高德评分: 4.1,,高德,positive
大沥公园,4.3,高德评分: 4.3,,高德,positive
祖盛徐公祠,3.9,高德评分: 3.9,,高德,neutral
胡氏宗祠,3.9,高德评分: 3.9,,高德,neutral
罗城三眼井,4.2,高德评分: 4.2,,高德,positive
慕道马公祠,4.0,高德评分: 4.0,,高德,positive
寨边五队李氏宗祠,3.9,高德评分: 3.9,,高德,neutral
潘氏宗祠,4.1,高德评分: 4.1,,高德,positive
茶基三圣宫,4.2,高德评分: 4.2,,高德,positive
芦溪公园,4.0,高德评分: 4.0,,高德,positive
观音古庙,4.1,高德评分: 4.1,,高德,positive
胡氏宗祠,4.1,高德评分: 4.1,,高德,positive
和桂文化广场,3.9,高德评分: 3.9,,高德,neutral
刘氏宗祠,4.0,高德评分: 4.0,,高德,positive
大藤水岸公园,4.1,高德评分: 4.1,,高德,positive
南国桃园-南海观音寺-三圣殿,4.4,高德评分: 4.4,,高德,positive
南海区基督教官窑堂,3.9,高德评分: 3.9,,高德,neutral
大石古庙公园,4.1,高德评分: 4.1,,高德,positive
玄武庙,4.3,高德评分: 4.3,,高德,positive
慧庆禅寺,4.2,高德评分: 4.2,,高德,positive
百岁祠,4.1,高德评分: 4.1,,高德,positive
蛇三公园,4.2,高德评分: 4.2,,高德,positive
下沙滘文化广场,4.3,高德评分: 4.3,,高德,positive
杜氏大宗祠,4.2,高德评分: 4.2,,高德,positive
大谷天后宫,4.2,高德评分: 4.2,,高德,positive
本立黄公祠,4.1,高德评分: 4.1,,高德,positive
信峰公园,4.1,高德评分: 4.1,,高德,positive
张边南公园,4.3,高德评分: 4.3,,高德,positive
郭氏宗祠,4.1,高德评分: 4.1,,高德,positive
善薮吴公祠,4.0,高德评分: 4.0,,高德,positive
