遗产保护体系,,,,
大类,分类,说明,来源,
非物质文化遗产,民间文学,神话、传说、故事、歌谣等（宗族文化、族谱、口述史）,"国家官方分类、
国家级非物质文化遗产代表性项目名录",
非物质文化遗产,传统音乐,民间音乐、传统器乐等,,
非物质文化遗产,传统舞蹈,民族民间舞蹈等,,
非物质文化遗产,传统戏剧,各类戏曲剧种,,
非物质文化遗产,曲艺,评书、相声、快板等,,
非物质文化遗产,传统体育、游艺与杂技,武术、杂技、传统游艺等,,
非物质文化遗产,传统美术,绘画、雕塑、工艺美术等,,
非物质文化遗产,传统技艺,传统手工艺、生产技艺等,,
非物质文化遗产,传统医药,中医、民族医药等,,
非物质文化遗产,民俗,节庆、礼仪、民间信仰等（宗族文化、族谱、口述史）,,
非物质文化遗产的传承主体,传承人,,"国家官方分类、
国家级非物质文化遗产代表性项目名录",
非物质文化遗产的传承主体,传承群体,,,
可移动文物,珍贵文物,（档案、地方志、族谱家谱）,"国家官方分类，按等级，《中华人民共和国文物保护法》，
历史上各时代重要实物、艺术品、工艺美术品、文献资料、手稿、图书资料、代表性实物等",
可移动文物,一般文物,,,
可移动文物,古代文物,艺术品、工艺美术品，文献资料以及手稿和图书资料，反映历史上各时代、各民族社会制度、社会生产、社会生活的代表性实物,"地方分类（陕西文物局）、按类型，
《国有可移动文物普查——文物认定标准（试行）》陕西文物局",
可移动文物,近代现代文物,文献文书、手稿手迹、书籍报刊、音像制品、艺术品、宣传品、徽章证件、旗帜匾额、印信图章、货币票证、宗教用品、武器装备、刑狱用具、生产用品、生活用品及其他,,
可移动文物,古脊椎动物化石和古人类化石,古猿化石、古人类化石、与人类活动有关的第四纪古脊椎动物化石,,
不可移动文物,古文化遗址,早期人类活动场所、聚落址、城址、宫殿衙署遗址、祭祀遗址、寺庙遗址、窑址、矿冶遗址、战场遗址、军事设施遗址、道路桥梁码头遗址等,"国家官方分类，按类型
《不可移动文物认定导则（试行）》、《中华人民共和国文物保护法》",
不可移动文物,古墓葬,帝王陵寝、名人或贵族墓、普通墓葬等,,
不可移动文物,古建筑,城垣城楼、宫殿府邸、宅第民居、坛庙祠堂、衙署官邸、学堂书院、驿站会馆、店铺作坊、牌坊影壁、亭台楼阙、寺观塔幢、苑囿园林、桥涵码头、堤坝渠堰、池塘井泉等（圩市）,,
不可移动文物,石窟寺及石刻,石窟寺、石刻、岩画等,,
不可移动文物,近现代重要史迹及代表性建筑,宗教建筑、工业建筑及附属物、名人旧居、传统民居、金融商贸建筑、中华老字号建筑、水利设施、文化教育建筑、医疗卫生建筑、军事建筑及设施、交通道路设施、典型风格建筑或构筑物等,,
不可移动文物,其他,不能归入上述类型但具有历史、艺术、科学价值的人类活动遗存（文化景观、圩市）,,
不可移动文物,全国重点文物保护单位,,国家官方分类，按保护级别,
不可移动文物,省级文物保护单位,,,
不可移动文物,设区的市级、县级文物保护单位,,,
不可移动文物,未定级不可移动文物,,,
历史文化名城名镇名村,历史文化名城,保存文物特别丰富；历史建筑集中成片；保留传统格局和历史风貌；历史上曾经作为政治、经济、文化、交通中心或者军事要地，或者发生过重要历史事件，或者其传统产业、历史上建设的重大工程对本地区的发展产生过重要影响，或者能够集中反映本地区建筑的文化特色、民族特色；申报时保护范围内应有2个以上历史文化街区,国家官方分类、《历史文化名城名镇名村保护条例》,
历史文化名城名镇名村,历史文化名镇,规模为镇级，保存文物特别丰富；历史建筑集中成片；保留传统格局和历史风貌；历史上曾经作为政治、经济、文化、交通中心或者军事要地，或者发生过重要历史事件，或者其传统产业、历史上建设的重大工程对本地区的发展产生过重要影响，或者能够集中反映本地区建筑的文化特色、民族特色,,
历史文化名城名镇名村,历史文化名村,同上，但规模为村级,,
历史文化名城名镇名村,历史文化街区,保存文物特别丰富、历史建筑集中成片、能完整真实体现传统格局和历史风貌且具有一定规模,,
历史文化名城名镇名村,历史建筑,指经城市、县人民政府确定公布的具有一定保护价值，能够反映历史风貌和地方特色，未公布为文物保护单位，也未登记为不可移动文物的建筑物、构筑物,,
自然保护地,国家公园,,国家官方分类、《GB_T 45071-2024自然保护地分类分级》,
自然保护地,自然保护区,生态系统、野生生物、自然遗迹,,
