2026-03-15 20:27:20 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0000 | entities=3 | relations=0 | elapsed=69.7s
2026-03-15 20:27:28 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0001 | entities=0 | relations=0 | elapsed=8.7s
2026-03-15 20:27:36 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0002 | entities=0 | relations=0 | elapsed=7.3s
2026-03-15 20:27:54 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0003 | entities=2 | relations=0 | elapsed=17.9s
2026-03-15 20:28:04 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0004 | entities=1 | relations=0 | elapsed=10.6s
2026-03-15 20:28:23 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0005 | entities=0 | relations=0 | elapsed=18.2s
2026-03-15 20:28:34 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0006 | entities=0 | relations=0 | elapsed=11.2s
2026-03-15 20:28:42 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0007 | entities=1 | relations=0 | elapsed=8.7s
2026-03-15 20:29:29 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0008 | entities=5 | relations=7 | elapsed=46.5s
2026-03-15 20:30:01 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0009 | entities=4 | relations=4 | elapsed=32.3s
2026-03-15 20:30:45 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0010 | entities=4 | relations=5 | elapsed=44.2s
2026-03-15 20:31:55 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0011 | entities=22 | relations=0 | elapsed=69.5s
2026-03-15 20:32:18 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0012 | entities=5 | relations=6 | elapsed=22.8s
2026-03-15 20:32:41 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0013 | entities=2 | relations=1 | elapsed=23.2s
2026-03-15 20:33:44 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0014 | entities=7 | relations=0 | elapsed=62.9s
2026-03-15 20:34:22 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0015 | entities=9 | relations=0 | elapsed=37.9s
2026-03-15 20:34:49 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0016 | entities=7 | relations=2 | elapsed=27.4s
2026-03-15 20:35:53 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0017 | entities=7 | relations=0 | elapsed=64.5s
2026-03-15 20:36:19 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0018 | entities=5 | relations=3 | elapsed=25.3s
2026-03-15 20:36:28 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0019 | entities=0 | relations=0 | elapsed=9.4s
2026-03-15 20:37:11 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0020 | entities=5 | relations=6 | elapsed=43.2s
2026-03-15 20:37:40 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0021 | entities=4 | relations=3 | elapsed=28.4s
2026-03-15 20:37:48 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0022 | entities=0 | relations=0 | elapsed=8.7s
2026-03-15 20:38:24 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0023 | entities=4 | relations=2 | elapsed=35.6s
2026-03-15 20:38:46 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0024 | entities=0 | relations=0 | elapsed=21.8s
2026-03-15 20:39:35 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0025 | entities=4 | relations=0 | elapsed=48.7s
2026-03-15 20:40:15 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0026 | entities=9 | relations=0 | elapsed=39.8s
2026-03-15 20:40:44 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0027 | entities=4 | relations=1 | elapsed=29.4s
2026-03-15 20:41:38 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0028 | entities=9 | relations=3 | elapsed=54.0s
2026-03-15 20:43:03 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0029 | entities=23 | relations=0 | elapsed=85.0s
2026-03-15 20:43:53 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0030 | entities=25 | relations=6 | elapsed=50.3s
2026-03-15 20:44:39 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0031 | entities=20 | relations=12 | elapsed=45.5s
2026-03-15 20:45:08 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0032 | entities=4 | relations=2 | elapsed=29.4s
2026-03-15 20:45:41 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0033 | entities=9 | relations=1 | elapsed=32.6s
2026-03-15 20:46:18 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0034 | entities=8 | relations=11 | elapsed=37.4s
2026-03-15 20:47:23 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0035 | entities=11 | relations=0 | elapsed=64.8s
2026-03-15 20:48:13 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0036 | entities=9 | relations=5 | elapsed=50.1s
2026-03-15 20:49:11 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0037 | entities=14 | relations=0 | elapsed=58.0s
2026-03-15 20:50:14 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0038 | entities=9 | relations=0 | elapsed=62.7s
2026-03-15 20:51:07 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0039 | entities=7 | relations=3 | elapsed=53.5s
2026-03-15 20:52:29 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0040 | entities=10 | relations=0 | elapsed=81.5s
2026-03-15 20:53:02 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0041 | entities=5 | relations=2 | elapsed=33.2s
2026-03-15 20:54:22 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0042 | entities=9 | relations=0 | elapsed=79.6s
2026-03-15 20:55:37 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0043 | entities=9 | relations=0 | elapsed=75.7s
2026-03-15 20:56:19 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0044 | entities=7 | relations=7 | elapsed=41.4s
2026-03-15 20:57:13 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0045 | entities=23 | relations=0 | elapsed=54.1s
2026-03-15 20:58:29 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0046 | entities=17 | relations=0 | elapsed=76.1s
2026-03-15 20:59:04 | model=qwen3:8b | file=001_南海县志_OCR连续文本.md | chunk=chunk_0047 | entities=5 | relations=2 | elapsed=34.7s
