id,name,type,mentions,confidence,source_count,weight,sources
E0001,佛山,地点,8064,0.95,16,44352.0,南海县志(OCR);中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;狮舞岭南龙腾南海
E0002,南海,地点,4119,0.95,15,21418.8,南海县志(OCR);佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;狮舞岭南龙腾南海
E0003,文化,其他,2682,0.5,16,14751.0,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;狮舞岭南龙腾南海
E0004,广东,地点,2466,0.95,16,13563.0,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;狮舞岭南龙腾南海
E0005,工作,其他,3001,0.5,12,12904.3,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海特产篇;南海美食_南海美食篇;南海龙狮南海衣冠南海古村_南海古村篇
E0006,广州,地点,1778,0.95,16,9779.0,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海传说篇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;狮舞岭南龙腾南海
E0007,生产,其他,3284,0.5,7,9195.2,中国旅行_广州佛山;佛山历史人物录;佛山市志_上;佛山市志_下;佛山文史资料;南海市西樵山旅游度假区志;南海美食_南海特产篇
E0008,进行,其他,1704,0.5,13,7838.4,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇
E0009,活动,其他,1548,0.5,14,7585.2,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇
E0010,企业,其他,2234,0.5,8,6925.4,佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海特产篇;南海美食_南海美食篇;南海龙狮南海衣冠南海古村_南海古村篇
E0011,管理,其他,2702,0.5,6,6755.0,佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海特产篇
E0012,公司,其他,2261,0.5,7,6330.8,佛山历史人物录;佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海美食_南海特产篇
E0013,主要,其他,1351,0.5,12,5809.3,佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇
E0014,人民,其他,1556,0.5,10,5757.2,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;南海市文化艺术志;南海市西樵山旅游度假区志;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇
E0015,艺术,其他,1301,0.5,11,5204.0,佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇
E0016,发展,其他,993,0.5,15,5163.6,中国旅行_广州佛山;佛山历史人物录;佛山市博物馆藏绘画;佛山市志_上;佛山市志_下;佛山文史资料;佛山祖庙;南海市文化艺术志;南海市西樵山旅游度假区志;南海文史资料_邹伯奇;南海美食_南海特产篇;南海美食_南海美食篇;南海非遗_南海书画篇;南海龙狮南海衣冠南海古村_南海古村篇;狮舞岭南龙腾南海
