name,category,town,rating,has_nonheritage,total_score,level,score_rating,score_review,score_positive,score_culture,score_photos
关氏咏春拳馆,其他,丹灶镇,4.5,True,64.0,中,90.0,0.0,100.0,60,0.0
洲表咏春拳馆,体育设施,桂城街道,4.5,True,64.0,中,90.0,0.0,100.0,60,0.0
西樵龙狮武术运动协会青联龙狮训练基地,体育设施,西樵镇,4.5,True,64.0,中,90.0,0.0,100.0,60,0.0
佛山市南海劲道咏春拳馆,自然景观,大沥镇,4.5,True,64.0,中,90.0,0.0,100.0,60,0.0
九江双蒸博物馆,文化场馆,九江镇,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
佛山非遗洪拳馆,自然景观,桂城街道,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
九江璜矶龙舟训练基地,其他,九江镇,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
九江龙舟研学营地,体育设施,九江镇,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
广府龙舟文化(纳德利)体验基地,其他,里水镇,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
佛山聚谊武术龙狮团,自然景观,大沥镇,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
良溪咏春拳馆,体育设施,桂城街道,4.4,True,63.4,中,88.0,0.0,100.0,60,0.0
罗村咏春体育公园文化广场,自然景观,狮山镇,4.3,True,62.8,中,86.0,0.0,100.0,60,0.0
叶问宗师馆,自然景观,狮山镇,4.3,True,62.8,中,86.0,0.0,100.0,60,0.0
麻奢龙舟基地,体育设施,里水镇,4.3,True,62.8,中,86.0,0.0,100.0,60,0.0
南海黄飞鸿中联龙狮训练俱乐部,其他,西樵镇,4.3,True,62.8,中,86.0,0.0,100.0,60,0.0
洲表村西里聚英堂龙狮团训练基地,体育设施,桂城街道,4.3,True,62.8,中,86.0,0.0,100.0,60,0.0
佛山忠艺龙狮训练基地,自然景观,大沥镇,4.3,True,62.8,中,86.0,0.0,100.0,60,0.0
