ix,iy,clng,clat,town,anchor_count,anchor_names,mentions_sum,oai_sum,poi_count,avg_rating,review_total,culture,tourism,mismatch,category
28,29,112.96625,22.93075,西樵镇,3,云泉仙馆|小云亭|枕流亭,413.0,7.0,9,4.1,27,75.42,55.55,-19.88,沉睡潜力
25,32,112.95275,22.94425,西樵镇,1,绮亭陈公祠,12.0,3.0,3,3.0,2,38.5,29.58,-8.92,一般地带
27,30,112.96175,22.93525,西樵镇,2,象林塔|光分亭,0.0,5.0,55,4.35,3,22.86,56.54,33.68,空心景点
32,27,112.98425,22.92175,西樵镇,1,西樵山采石场遗址,811.0,4.0,0,0.0,0,74.89,0.0,-74.89,沉睡潜力
17,35,112.91675,22.95775,西樵镇,1,鱿鱼岗遗址,0.0,3.0,1,0.0,0,17.69,5.16,-12.52,双低空白
34,27,112.99325,22.92175,西樵镇,1,南蛇岗遗址,0.0,3.0,0,0.0,0,17.69,0.0,-17.69,双低空白
33,25,112.98875,22.91275,西樵镇,1,富贤遗址,0.0,3.0,0,0.0,0,17.69,0.0,-17.69,双低空白
27,25,112.96175,22.91275,西樵镇,1,佛子庙镇头遗址,2.0,3.0,1,4.0,1,26.6,25.74,-0.86,一般地带
35,30,112.99775,22.93525,丹灶镇,1,火石迳遗址,0.0,3.0,3,0.0,0,17.69,10.33,-7.36,双低空白
29,27,112.97075,22.92175,西樵镇,2,锦岩遗址|李子长墓,35.0,5.0,22,4.3,6,51.93,53.4,1.47,核心耦合
30,26,112.97525,22.91725,西樵镇,3,四峰书院遗址|霍韬夫人墓|西樵山紫姑井,836.0,8.0,1,3.1,1,82.64,22.14,-60.5,沉睡潜力
31,29,112.97975,22.93075,西樵镇,3,宝峰胜处摩崖石刻|西樵山蟹眼泉|翠岩摩崖石刻,813.0,7.0,2,3.85,2,80.91,30.84,-50.07,沉睡潜力
