entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
西樵山,地名,700,46,112.972653,22.90873,西樵镇,poi_contain,B0IBO9P320
佛山,地名,475,40,113.009071,23.087814,狮山镇,poi_contain,B0HGSH3UCJ
云泉仙馆,建筑遗迹,398,46,113.03713,22.887626,丹灶镇,poi_exact,B0H3J54DS3
祖庙,建筑遗迹,336,14,113.141256,23.030077,桂城街道,poi_contain,B0FFILJ0SJ
佛山祖庙,建筑遗迹,245,13,113.127735,23.046699,桂城街道,poi_contain,B0FFMCGHJP
南海县,地名,186,41,113.100939,23.134657,狮山镇,poi_contain,B02F50WG6V
九江,地名,159,35,113.01534,22.835259,九江镇,poi_contain,B0I6ZHKEGN
南海,地名,159,34,113.137374,23.033677,桂城街道,poi_contain,B0J3Z9Z8PG
九江镇,地名,121,29,113.007293,22.906373,九江镇,poi_contain,B0GUML80X9
西樵,地名,106,29,112.972653,22.90873,西樵镇,poi_contain,B0IBO9P320
石门中学,地名,103,11,113.184287,23.121699,大沥镇,poi_exact,B02F50UERZ
广州,地名,88,35,113.190809,23.144144,里水镇,poi_contain,B0H0UUMVA7
简村,地名,84,15,112.950197,22.94808,西樵镇,poi_contain,B0FFKZZLC2
康有为故居,建筑遗迹,70,16,112.905461,23.021024,丹灶镇,anchor_exact,ANC_0057
白云洞,地名,66,9,112.959086,22.937046,西樵镇,poi_contain,B0FFHHHE8Y
大沥,地名,56,22,113.144948,23.114362,大沥镇,poi_contain,B0KKS7457V
盐步,地名,50,16,113.168268,23.092854,大沥镇,poi_contain,B0FFL0FJW7
官山,地名,48,14,113.003022,22.952411,西樵镇,poi_exact,
南海中学,建筑遗迹,47,18,112.999948,22.942728,西樵镇,poi_exact,B02F508QXL
松塘村,地名,45,13,112.911801,22.986783,西樵镇,anchor_contain,ANC_0102
罗村,地名,44,14,113.042488,23.049031,狮山镇,poi_contain,B0FFKK8HV1
里水,地名,44,16,113.147625,23.170075,里水镇,poi_contain,B0L0H1SAMG
三湖书院,建筑遗迹,43,12,112.959813,22.935621,西樵镇,poi_exact,B0FFFWF6T4
官窑,地名,42,16,113.092972,23.200746,狮山镇,poi_contain,B0KBX7L8SD
平洲,地名,41,14,113.177132,23.035727,桂城街道,poi_contain,B0FFMG6YQA
香港,地名,40,19,113.147736,23.181393,里水镇,poi_contain,B0G39NK9C4
丹灶,地名,39,17,112.942281,23.063219,丹灶镇,poi_contain,B0G3Z7ST2S
祠堂,建筑遗迹,37,14,113.002178,23.152173,狮山镇,poi_contain,B0GUCH8DND
西江,地名,35,21,113.21653,23.031684,桂城街道,poi_contain,B0FFKCKTRX
西樵镇,地名,35,11,112.99,22.94,西樵镇,anchor_exact,ANC_0136
民乐,地名,34,7,112.95316,22.962793,西樵镇,poi_contain,
官山圩,地名,34,5,112.975635,22.941597,,anchor_exact,ANC_0159
佛山市,地名,33,13,113.009071,23.087814,狮山镇,poi_contain,B0HGSH3UCJ
北帝庙,建筑遗迹,29,7,112.944171,23.030381,丹灶镇,poi_exact,B0FFME2KQ5
顺德,地名,29,14,113.153123,23.066107,桂城街道,poi_contain,B0HR0GRI5A
里水镇,地名,29,12,113.140705,23.176076,里水镇,poi_contain,B0HKZSRCKT
桂城,地名,29,6,113.236033,23.017917,桂城街道,poi_contain,B0H0RLBAVT
南庄,地名,28,7,113.101194,23.133192,大沥镇,poi_contain,B02F503RDN
松岗,地名,28,12,113.099147,23.135518,大沥镇,poi_contain,B0FFFDSWCS
小塘,地名,27,10,112.996401,23.037992,狮山镇,poi_contain,B0FFK7JRA1
黄飞鸿狮艺武术馆,建筑遗迹,26,4,112.945135,22.923938,西樵镇,poi_exact,B02F501SVF
沙头,地名,25,14,113.007293,22.906373,九江镇,poi_contain,B0GUML80X9
珠江三角洲,地名,24,14,113.193456,23.098816,里水镇,poi_contain,B0FFG48NRZ
和顺,地名,24,9,113.13986,23.248708,里水镇,poi_contain,B0FFKCKKR4
桂园文化宫,建筑遗迹,24,1,113.138512,23.046642,桂城街道,poi_contain,B02F507391
丹灶镇,地名,24,9,112.92497,23.061415,丹灶镇,poi_contain,B0H067GUG4
南海市,地名,23,7,113.072143,23.130649,大沥镇,poi_contain,B0FFM3V93I
大沥镇,地名,20,8,113.103797,23.115744,大沥镇,poi_contain,B0FFJRS0UB
显纲村,地名,19,6,113.095223,23.137433,狮山镇,poi_contain,B0HG2U0CJU
千灯湖,地名,18,11,113.142081,23.053483,桂城街道,poi_exact,B02F506TYO
北江,地名,18,9,112.988214,23.069751,狮山镇,poi_contain,
观音庙,建筑遗迹,18,8,113.191867,23.026327,桂城街道,poi_exact,B0FFHRPUYH
三门,建筑遗迹,17,4,113.149308,23.038698,桂城街道,poi_contain,B0FFHH8HW0
大岗圩,地名,17,5,112.921201,22.974416,,anchor_exact,ANC_0156
华光庙,建筑遗迹,16,9,113.167321,23.088397,里水镇,poi_exact,B0FFKF1MUV
白云古寺,建筑遗迹,16,7,112.964364,22.933846,nan,anchor_exact,ANC_0015
狮山镇,地名,16,4,113.069862,23.230078,狮山镇,poi_contain,B0FFK4D8L2
三水,地名,15,10,113.186882,23.116799,里水镇,poi_contain,B0FFJNAOHK
番禺,地名,15,10,112.993356,23.123918,狮山镇,poi_contain,B0FFI7RHCH
佛山书院,建筑遗迹,15,4,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
黄岐,地名,15,5,113.187966,23.109414,大沥镇,poi_contain,B0K0P5W2TW
