platform,spot_name,text,time,poi_id,poi_name,poi_category,poi_town,poi_lng,poi_lat,is_cultural_tourism,match_score,match_method
去哪儿,中央电视台南海影视城,中央电视广播总台南海影视城是中央电视台直属的影视摄制基地，被誉为“中国好莱坞”。南海影视城主要景点由皇宫、江南水乡、香港澳门街等多余处影视拍摄景观组成，占地面积100万平方米，是以明清、民国时期文化为背景的仿古建筑群，内部分为三大景区和一个表演区，有江南水乡式景观，也有岭南建筑、葡式建筑等景观。想体验哪个时代的背景通通让你过足瘾。周末来个说走就走的小旅行，不用太远就在广东佛山，就能体验什么叫做“中国好莱坞”！【位置】广东佛山南海影视城【门票】成人：90元/人；老人/儿童：45元/人，学生证：55元/人，双人票：150元。【交通】附近的朋友可以自驾游到达，从广州开车过去大概一小时，停车费一天才20元；途经南海影视城的公交线路有佛山公交旅游城巴2路、佛山公交222路、佛山公交238路、佛山公交244路、佛山公交256路、佛山公交259路【游玩时间】半天~1天【开放时间】全年8:30~17:30 《香港的故事》《澳门的故事》《太平天国》等这些电视剧都在这里取景选址拍摄。 金碧辉煌的皇宫，也让我感觉到惊叹不已，让我感觉我就是在故宫似的。 江南水乡，位于南海影视城中部，四面环水，具有江南建筑风格的庭院式建筑群，主要景点有杭州街、苏州街、码头街、翼王府、金陵商埠、钟鼓楼、秦淮楼等。 江南水乡的表演出神入化。 香港澳门街，位于南海影视城西南端，是由以20世纪20年代岭南文化为背景的香港街区和澳门景观组成，建筑风格集古今、中西为一体，主要景点有戏院、赌场、影楼、妓寨、警署、钱庄、商行、客栈、许家大院、龙虎堂、濠江酒店等。 如果想更深入体验当时朝代背景可租用服装体验一番。 我们看过很多电视剧，有些都是在这里取景，当我看到某一处时，我就会想起那不就是哪个电视剧的取景地吗？感觉我就像跟明星们近距离过一般。,,B02F503R4G,中央电视台南海影视城,自然景观,狮山镇,113.10825,23.186927,FALSE,100,exact
去哪儿,西樵山国艺影视城,#点评召集令#西樵山影视城说大不大，说小不小，清楚里面的分布，玩起来会比较顺畅，要好让自己有个规划，如果你喜欢迷宫般的游玩方式，本节可忽略哦~【关于布局】西樵山影视城简单点看可以分为三大板块，都是按不用区域划分，第一个是古代建筑，第二个是70.80年代的城市老街区，第三个是启德游乐场，第四个是婚纱影视基地。目前清明上河图和江南水乡这一带还在建设中，我去的时间就被拦住了。第一板块细分：衙门、古大宅、明清皇宫第二板块细分：广州街、香港街、上海街【关于停车】据我所知是有两个停车场的，因为直接导航到目的地的时候，停车场的保安告知收费是10元一次，往前一点有个不收费的，我们懒得再往前就直接停在这里了，靠近黄大仙以及西樵山入口，这个入口进去就是古大宅；另外一个停车场我估计是在明清皇宫那边哦~【其他资讯】景区全称：西樵山国艺影视城开放时间：9:00-21:30门票政策：（单票）成人票门市价90元；OTA预订69元左右（套票）西樵山国艺影视城+黄大仙祠门市价148元，OTA预订76元【关于路线】广州公交路线：地铁8号线 - 广佛线 - 旅游城巴1线 - 樵16路 佛山市区公交路线：110路 - 旅游城巴1a线 - 樵16路；120路 - 226路 - 樵16路自驾请随意~~导航你懂的,,B0FFFOVW3H,西樵山国艺影视城,休闲娱乐,西樵镇,112.968458,22.911054,TRUE,100,exact
去哪儿,南海博物馆,南海博物馆，位于佛山南海区西樵山南门入口处，除了西樵山、南海博物馆之外，博物馆对面是国艺影视城，马路对面是一家酒店，其实很适合安排一次两天一夜的休闲游，爬爬山，逛逛影视城和博物馆，就住在西樵山山脚下，挺惬意的，西樵山空气很不错。 南海博物馆开放时间是每周二至周日9:00—17:00，周一闭馆，不过值得注意的是下午4点钟就停止入场了，所以要参观的话要看好时间，免费不免票，在门口领票参观。公交车可以坐樵01或樵16路到西樵山南枢纽站（南海博物馆）下，走几十米就到了。开车比较方便，对于外地游客而言，乘坐公交车会费时比较长。 南海博物馆在西樵山的山脚下，建筑很有特色，看上去蛮有大师的感觉的。博物馆其实是由两部分组成，一部分是博物馆，另一部分是石景宜博士博物馆。首层是大堂，还有一个临时展厅，主要的展览在二楼，坐电梯上去会有指示，参观起来还是比较顺畅的，按照指示下楼后会来到石景宜博物馆的门口，这个博物馆主要是介绍石景宜的事迹和他收藏的藏品，有贝叶经、书画作品、工艺品等等。 博物馆方面的展览主要有南海记忆，这是介绍南海历史的，还有一个书画展览、名人展和非物质文化遗产的展览。在这里逗留个一两个小时也是一个不错的选择，可以了解到南海的历史。每天上午10:00、11:00和下午14:30提供免费讲解服务，可以跟着讲解员听一听，会更有收获。,,B0FFF3NK66,南海博物馆,文化场馆,西樵镇,112.977738,22.907559,TRUE,100,exact
去哪儿,中央电视台南海影视城,在广州出发，在一号线西朗站转乘广佛线到达祖庙，从A出口出站到祖庙路站搭乘旅游城巴二线到南海影视城总站下，车程约1小时，这里交通方便，适合广州周边短途游。到了园区才发现，原来在广州芳村客运站有直达车到这里。园区很大，山水风景，拍摄的亭台楼阁，很多都有熟悉的场景，在电视上见过，门票的性价比还算合理，我们在网上订票每人80RMB。特别推荐两个景点，天朝宫殿和蒲式建筑风格的澳门街景，这两个地方一定要细细游览。宫殿雄伟壮观，里面可以租借戏服拍照。澳门街景是二十世纪二三十年代的建筑风格，在电视剧中常看到的剧景，在这里可以身临其境了。在景区内，餐饮小店挺多的，食物价格比较贵也是正常的。这里建议用5个小时游玩，欣赏一下不同时代的特色建筑。,,B02F503R4G,中央电视台南海影视城,自然景观,狮山镇,113.10825,23.186927,FALSE,100,exact
去哪儿,南海万科广场,最近很流行这种大排档式的海鲜餐馆，看到大众点评的推荐而来，果然不错。海鲜品种不少，皮皮虾、蛏子、花蟹、花甲、鱿鱼等任君选择，而且都新鲜。味道则是地道的广东风味，镬气也足够，口味大众化。环境ok，服务挺到位的，整体价格实际，我给个好评。,,B02F50VD3U,南海万科广场,商业服务,桂城街道,113.148941,23.039184,FALSE,100,exact
去哪儿,和信广场,酒店所在的信和广场，是个集餐饮、娱乐、购物、休闲等都为一体的一站式综合商业体，是狮山地区首家多功能业态的百货公司，住在附近还是非常方便的。 在入住期间，试了这边两家不同口味的餐厅，这家福蛙也是很不错的。 另一家是做海南椰子鸡的，相对口味要更加清淡，也比较符合广东人的饮食养生理念，特别适合夏天消暑。 加入了椰子水的清鸡汤，入口非常鲜甜。 蘸碟是经典的豉油，根据个人喜欢可以加入沙姜、指天椒、青柠等。 除了鸡煲还可以加入各种萝卜、杂菇等配菜。,,B0FFF0KPN3,和信广场,商业服务,狮山镇,113.000248,23.123862,FALSE,100,exact
去哪儿,中央电视台南海影视城,因占地面积较大，影视城一般都建在距离市区较远的郊外，南海影视城也不例外。开车到南海影视城比较方便，搭乘公交车比较耗时。如果自助游玩，可以考虑呆上一天。影视城的门票90元，价钱不便宜，可以考虑在网上购买，比到了景点门口购买会便宜一些。影视城汇聚了不同地方不同时代的建筑特色，有宫殿、江南水乡、香港澳门街等等，喜欢摄影，拍美照的人来这里是不错的选择，在这里游玩经常会碰到拍婚纱照的新人。运气好的话，也会碰到正在拍影视的团队。影视城不同时间段有节目表演，非常精彩，值得一看。留意表演时间。节目表演不断推陈出新，增添更多旅游影视节目和特技项目，常看常新。光看影视城的外景，如果只是看景，很快就逛完了，也很难感受到与其他景点有什么不同。在游玩影视城时，最好能带上思考，想象影视是如何拍摄的，会比较好玩。在影视城游玩，可以窥见到影视拍摄的特点，影视没有我们想象中那么神秘。到影视外景中旅游，在旅游中看影视外景，感受影视知识与奥妙，游客能享受到妙趣横生的旅游体验。,,B02F503R4G,中央电视台南海影视城,自然景观,狮山镇,113.10825,23.186927,FALSE,100,exact
去哪儿,南海观音寺,佛山南海观音寺还是我在广州去的唯一一个景点，大学大三暑假的时候去找长期在广州出差的姐姐玩，广州的暑假时期天气热的真真真是不适合出门，姐姐每天忙着上班谈业务什么的，我就自己呆在家里吹空调看电视，只是突然间我姐工作调动才会来佛山南海观音寺的，听我姐说拜佛是一拜拜三年的，不然你之前拜佛许的愿都落空了，拜佛许愿是需要还愿的，这些我倒是没了解过，因为我对拜佛也不感兴趣，佛山属亚热带季风性湿润气候，气候温和，雨量充足，四季常绿，最佳旅游时间为9月-11月。 吃完午饭我姐开车载着我出发去南海观音寺了，行使大约四五十分钟我们就到了，我姐把车停在停车场我们就朝向佛像的方向走去，当天是阴天空气比较凉爽。其实一下车我就看到了坐立在半空中座北向南的南海观音佛像，据说这里是南海市最大的佛门圣地，香火比较旺盛，环境也很清幽。在观音佛像前面的广场是很长一排排的台阶，跟着姐姐沿着台阶来到观音佛像的脚下，我自己在外面瞎转悠，姐姐进去买了香火去烧香拜佛，在佛像脚下有一座很大的钟，上面刻着“国泰民安，风调雨顺”等大字，这是为老百姓的生活许愿。在景点里面还有钟楼鼓楼、牛牯石、分饼石、彩云亭等景点，只是我在外面等我姐的时候没有到处走动，在旁边的一个小鱼池旁看着游来游去的金鱼，还有小孩子在这儿喂它们鱼食。 钟上面刻着的“国泰民安” 钟上面刻着的“风调雨顺” 池塘里的鱼儿 等我姐姐弄完我们便下来准备回去了，在回去的途中，远远的还是能够看到南海观音的佛像，这是我目前为止见到过最高最大的佛像。,,B0FFG0YUHE,南海观音寺,宗教场所,大沥镇,113.108714,23.175651,TRUE,100,exact
去哪儿,牛牛西厨（张槎店）,【Location】禅城区张搓四路19号，维也纳3好酒店首层。坐车102、123、124、128到东便站，往东海明珠方向走大约100米即到。【Service】门面比较高档，而且又在维也纳酒店的衬托下更显层次。服务态度不错，一进来坐下就倒水，还问你要不要加柠檬，柠檬是新鲜切好的，客人需要才加，这点很贴心。装修很别致，灯光不会太昏暗，坐着都感觉挺舒适的，一面是落地大玻璃，所以光线挺充足的。布置也挺别致，墙壁的装饰物挺有格调的。就是菜式略少选择，价格也偏高一点，但是味道都很不错。最后分享朋友圈还送了牛轧糖，牛轧糖味道也很好，应该是自家手工制品，赞一个。茶位是3元一位。【Food】*脆皮鸡沙拉*38元一份，这个墙裂推荐，那个沙拉醋超好味，蔬菜挺新鲜的，还有赞一下脆鸡肉，酱汁很好味，鸡肉也很脆很香，不过味道略咸。*XO酱海鲜炒饭*炒饭很香，上面点缀的应该是银鱼干，炒饭配料丰富，虾仁、鱿鱼、蟹柳还有洋葱等，饭粒很均匀，卖相也不错。*茄汁牛肉焗饭*36元，这个番茄酱很浓，份量也很大，而且很容易饱腹，味道还可以，酸酸甜甜开胃。,,B0IUD5JAZE,牛牛西厨(大沥永旺梦乐城店),商业服务,大沥镇,113.143625,23.114647,FALSE,100,exact
去哪儿,拉夏贝尔,简介：非常受到年轻的都市女性，特别是白领阶层喜爱的女装品牌。分店遍及全国各地。地理位置和交通：佛山的这一家分店位于禅城区锦华路东方广场明珠城2楼，是我们在逛街时无意当中走到的。好在周围都是商业圈，因此交通还是比较便利的，可以在市内乘坐180路、109路或桂31路公交车前往，到“东方广场站”下车，然后沿着锦华路走上十几分钟即可到达明珠城。体验：1、可能因为拉夏贝尔是以都市白领阶层作为主要消费群，所以与其他品牌相比，他家的服装非常讲求个性，常常能将不同风格的服饰混搭出意想不到的效果，比如小碎花的休闲服与灰色长裙，或者是将海绵宝宝等卡通形象融入服饰，让人感受到了都市女性富有个性的一面。2、价格方面，因为是品牌服装，因此多在300元左右，不算很便宜。3、服务方面，可能因为中午人比较少，感觉营业员有些懒懒散散的。没什么精神。4、环境方面，里面的布置很简单，沙发座椅、试衣间等配套设施非常完善。,,B0FFIJRORR,拉夏贝尔(鹏瑞利季华广场店),商业服务,桂城街道,113.147875,23.014119,FALSE,100,exact
